Input Metric	Output Metric	Neighbours	Minimum Distance	Weights	Model	Av. Accuracy
 euclidean	 chebyshev	60	0.001	1	 ada_rf_2	0.709379509
 euclidean	 chebyshev	15	0.25	0.001	 rf_2	0.709379509
 euclidean	 chebyshev	60	0.8	0.3	 xgboost_2	0.709379509
 euclidean	 chebyshev	15	0.4	0.7	 knn_2	0.709235209
 euclidean	 chebyshev	75	0.4	0.9	 knn_2	0.709235209
 euclidean	 chebyshev	60	0.6	0.5	 knn_2	0.709235209
 euclidean	 chebyshev	75	0.6	0.7	 knn_2	0.709235209
 euclidean	 chebyshev	15	0.6	0.6	 ada_rf_2	0.709090909
 euclidean	 chebyshev	25	0.1	0.8	 knn_2	0.708802309
 euclidean	 chebyshev	60	0.5	0.9	 knn_2	0.708802309
 euclidean	 chebyshev	60	0.7	0.25	 xgboost_2	0.708802309
 euclidean	 chebyshev	60	0.4	0.8	 knn_2	0.708658009
 euclidean	 chebyshev	60	0.5	0.01	 knn_2	0.708658009
 euclidean	 chebyshev	25	0.001	0.4	 knn_2	0.708513709
 euclidean	 chebyshev	25	0.25	0.7	 knn_2	0.708513709
 euclidean	 chebyshev	20	0.1	0.3	 knn_2	0.708369408
 euclidean	 chebyshev	60	0.9	0.8	 xgboost_2	0.706926407
 euclidean	 chebyshev	15	0.3	0.2	 rf_2	0.706637807
 euclidean	 chebyshev	75	0.6	0.4	 ada_rf_2	0.706493506
 euclidean	 chebyshev	75	0.2	0.001	 knn_2	0.706493506
 euclidean	 chebyshev	90	0	0.6	 nn_2	0.706493506
 euclidean	 chebyshev	15	0.25	0.001	 ada_rf_2	0.706349206
 euclidean	 chebyshev	75	0.5	0.001	 ada_rf_2	0.706349206
 euclidean	 chebyshev	60	0.7	0.8	 rf_2	0.706349206
 euclidean	 chebyshev	60	0.5	1	 knn_2	0.706204906
 euclidean	 chebyshev	60	0.8	0.8	 knn_2	0.706204906
 euclidean	 chebyshev	75	0.8	0.8	 knn_2	0.706204906
 euclidean	 chebyshev	60	0.9	0.8	 knn_2	0.706204906
 euclidean	 chebyshev	75	0.9	0.8	 knn_2	0.706204906
 euclidean	 chebyshev	15	0.25	0.3	 rf_2	0.706204906
 euclidean	 chebyshev	75	0.3	0.1	 knn_2	0.706060606
 euclidean	 chebyshev	60	0.6	0.6	 knn_2	0.706060606
 euclidean	 chebyshev	30	0.25	0.4	 knn_2	0.705916306
 euclidean	 chebyshev	60	0.4	0.6	 knn_2	0.705772006
 euclidean	 chebyshev	90	0.8	0.5	 rf_2	0.705772006
 euclidean	 chebyshev	90	0.9	0.5	 rf_2	0.705772006
 euclidean	 chebyshev	25	0.01	1	 knn_2	0.705627706
 euclidean	 chebyshev	25	0.01	0.3	 knn_2	0.705339105
 euclidean	 chebyshev	75	0.01	0.8	 nn_2	0.703751804
 euclidean	 chebyshev	75	0.8	0.25	 ada_rf_2	0.703607504
 euclidean	 chebyshev	20	0.6	0.5	 ada_rf_2	0.703463203
 euclidean	 chebyshev	35	0.4	1	 knn_2	0.703463203
 euclidean	 chebyshev	60	0.2	0.25	 rf_2	0.703463203
 euclidean	 chebyshev	75	0	0.9	 ada_rf_2	0.703318903
 euclidean	 chebyshev	60	0.6	0.1	 knn_2	0.703318903
