euclidean, chebyshev, 0, 35, 0.9,  knn, 0.6639981785063752
euclidean, chebyshev, 0, 35, 0.9,  nn, 0.6707285974499089
euclidean, chebyshev, 0, 40, 0.01,  ada_rf, 0.6570127504553734
euclidean, chebyshev, 0, 40, 0.01,  knn, 0.6580783242258652
euclidean, chebyshev, 0, 40, 0.01,  nn, 0.6530601092896174
euclidean, chebyshev, 0, 40, 0.1,  rf, 0.6541621129326047
euclidean, chebyshev, 0, 40, 0.1,  xgboost, 0.65367941712204
euclidean, chebyshev, 0, 40, 0.1,  knn, 0.6519034608378871
euclidean, chebyshev, 0, 40, 0.3,  rf, 0.6695810564663024
euclidean, chebyshev, 0, 40, 0.3,  ada_rf, 0.673488160291439
euclidean, chebyshev, 0, 40, 0.4,  rf, 0.6730601092896175
euclidean, chebyshev, 0, 40, 0.4,  ada_rf, 0.6713752276867031
euclidean, chebyshev, 0, 40, 0.4,  xgboost, 0.677959927140255
euclidean, chebyshev, 0, 40, 0.4,  knn, 0.667959927140255
euclidean, chebyshev, 0, 40, 0.5,  rf, 0.6955373406193078
euclidean, chebyshev, 0, 40, 0.5,  ada_rf, 0.6954918032786885
euclidean, chebyshev, 0, 40, 0.5,  xgboost, 0.6828506375227686
euclidean, chebyshev, 0, 40, 0.5,  knn, 0.6916120218579235
euclidean, chebyshev, 0, 40, 0.5,  nn, 0.6552094717668488
euclidean, chebyshev, 0, 40, 0.6,  xgboost, 0.6536885245901639
euclidean, chebyshev, 0, 40, 0.7,  knn, 0.6536520947176685
euclidean, chebyshev, 0, 40, 1,  knn, 0.6579963570127505
euclidean, chebyshev, 0, 45, 0,  rf, 0.6629234972677596
euclidean, chebyshev, 0, 45, 0,  ada_rf, 0.66459927140255
euclidean, chebyshev, 0, 45, 0,  xgboost, 0.6668579234972678
euclidean, chebyshev, 0, 45, 0.001,  knn, 0.6502550091074681
euclidean, chebyshev, 0, 45, 0.01,  knn, 0.6503642987249545
euclidean, chebyshev, 0, 45, 0.1,  rf, 0.659143897996357
euclidean, chebyshev, 0, 45, 0.1,  ada_rf, 0.6585883424408014
euclidean, chebyshev, 0, 45, 0.1,  nn, 0.6503642987249545
euclidean, chebyshev, 0, 45, 0.5,  rf, 0.6731056466302368
euclidean, chebyshev, 0, 45, 0.5,  ada_rf, 0.6791803278688524
euclidean, chebyshev, 0, 45, 0.5,  xgboost, 0.6686612021857924
euclidean, chebyshev, 0, 45, 0.5,  knn, 0.6924043715846995
euclidean, chebyshev, 0, 45, 0.6,  rf, 0.6762112932604736
euclidean, chebyshev, 0, 45, 0.6,  ada_rf, 0.6712021857923497
euclidean, chebyshev, 0, 45, 0.6,  xgboost, 0.6568943533697632
euclidean, chebyshev, 0, 45, 0.6,  knn, 0.6712295081967213
euclidean, chebyshev, 0, 45, 0.7,  knn, 0.6917213114754098
euclidean, chebyshev, 0, 45, 0.7,  nn, 0.6502732240437159
euclidean, chebyshev, 0, 45, 0.9,  xgboost, 0.650856102003643
euclidean, chebyshev, 0, 45, 0.9,  knn, 0.6508469945355191
euclidean, chebyshev, 0, 60, 0.001,  rf, 0.6507923497267759
euclidean, chebyshev, 0, 60, 0.001,  ada_rf, 0.6563570127504553
euclidean, chebyshev, 0, 60, 0.1,  ada_rf, 0.6524590163934426
euclidean, chebyshev, 0, 60, 0.1,  xgboost, 0.6585428051001821
euclidean, chebyshev, 0, 60, 0.3,  knn, 0.6738433515482696
euclidean, chebyshev, 0, 60, 0.5,  knn, 0.6545628415300546
euclidean, chebyshev, 0, 60, 0.6,  ada_rf, 0.6508287795992714
euclidean, chebyshev, 0, 60, 0.6,  knn, 0.6595810564663024
euclidean, chebyshev, 0, 60, 0.8,  rf, 0.6551912568306011
euclidean, chebyshev, 0, 60, 0.8,  ada_rf, 0.6530510018214937
euclidean, chebyshev, 0, 60, 0.8,  knn, 0.6569034608378871
euclidean, chebyshev, 0, 60, 1,  rf, 0.6591621129326047
euclidean, chebyshev, 0, 60, 1,  ada_rf, 0.6541985428051001
euclidean, chebyshev, 0, 60, 1,  xgboost, 0.6509744990892532
euclidean, chebyshev, 0, 75, 0.001,  rf, 0.6702732240437158
euclidean, chebyshev, 0, 75, 0.001,  ada_rf, 0.6696994535519125
euclidean, chebyshev, 0, 75, 0.001,  xgboost, 0.651511839708561
euclidean, chebyshev, 0, 75, 0.001,  nn, 0.6619763205828779
euclidean, chebyshev, 0, 75, 0.1,  rf, 0.6503642987249545
euclidean, chebyshev, 0, 75, 0.1,  ada_rf, 0.6503551912568306
euclidean, chebyshev, 0, 75, 0.4,  rf, 0.65908014571949
euclidean, chebyshev, 0, 75, 0.4,  ada_rf, 0.6563205828779599
euclidean, chebyshev, 0, 75, 0.4,  knn, 0.6608014571948998
euclidean, chebyshev, 0, 75, 0.5,  ada_rf, 0.6520036429872496
euclidean, chebyshev, 0, 75, 0.5,  knn, 0.6557923497267759
euclidean, chebyshev, 0, 75, 0.7,  xgboost, 0.6696448087431693
euclidean, chebyshev, 0, 75, 0.8,  nn, 0.654143897996357
euclidean, chebyshev, 0, 75, 0.9,  rf, 0.6542987249544626
euclidean, chebyshev, 0, 90, 0.2,  rf, 0.6619763205828779
euclidean, chebyshev, 0, 90, 0.2,  ada_rf, 0.6630692167577413
euclidean, chebyshev, 0, 90, 0.2,  nn, 0.6614207650273224
euclidean, chebyshev, 0, 90, 0.25,  knn, 0.6507194899817851
euclidean, chebyshev, 0, 90, 0.4,  rf, 0.6590983606557377
euclidean, chebyshev, 0, 90, 0.4,  ada_rf, 0.6535883424408014
