0,1,2,3,biosyn_class
274.0,307.0,4.260073769054317,0.0,Polyketide
256.0,316.0,4.266678033009764,0.0,Polyketide
61.0,347.0,4.272980381269925,0.0,RiPP
167.0,322.0,4.279762355592072,0.0,NRP - PK
52.0,134.0,4.2981308889633825,0.0,Saccharide
107.0,334.0,4.316761363471697,0.0,Other
93.0,306.0,4.318102517077599,0.0,Other
98.0,327.0,4.329425129399165,0.0,Other
76.0,166.0,4.347826444577765,0.0,Polyketide
3.0,23.0,4.360034811565908,0.0,Other
94.0,290.0,4.372674425956472,0.0,Polyketide
325.0,341.0,4.373099391981997,0.0,Polyketide
31.0,337.0,4.376389879174218,0.0,Polyketide
147.0,187.0,4.381749078382327,0.0,Alkaloid
159.0,295.0,4.398622418888749,0.0,Polyketide
291.0,300.0,4.40145859146488,0.0,NRP
112.0,299.0,4.411540146325207,0.0,NRP
114.0,202.0,4.414977017735886,0.0,NRP
30.0,177.0,4.417569190401774,0.0,Terpene
210.0,344.0,4.4268535922746794,0.0,Terpene
72.0,309.0,4.426995427028126,0.0,RiPP
21.0,154.0,4.451039443488855,0.0,NRP
303.0,328.0,4.469742823499175,0.0,NRP
36.0,230.0,4.4739524849247685,0.0,NRP
48.0,80.0,4.484617414422342,0.0,Polyketide
73.0,280.0,4.48708002102017,0.0,NRP
273.0,360.0,4.506291883964956,0.0,Other
331.0,353.0,4.515231417637448,0.0,NRP
314.0,345.0,4.524793823846651,0.0,NRP
335.0,352.0,4.534776779603157,0.0,Polyketide
178.0,333.0,4.556696801746043,0.0,Polyketide
302.0,363.0,4.575164519497076,0.0,NRP
258.0,304.0,4.592080893524672,0.0,Polyketide
164.0,321.0,4.653834392388903,0.0,NRP
228.0,357.0,4.689692020894128,0.0,Polyketide
282.0,365.0,4.7120682545268195,0.0,Terpene
312.0,364.0,4.720556656944872,0.0,NRP
332.0,370.0,4.727365803845226,0.0,NRP
117.0,358.0,4.777999444808715,0.0,Other
348.0,356.0,4.793782896933659,0.0,RiPP
115.0,355.0,4.79396021767507,0.0,RiPP
33.0,305.0,4.795546828734863,0.0,RiPP
292.0,374.0,4.83224883456995,0.0,Polyketide
260.0,382.0,4.849476555697721,0.0,NRP
142.0,387.0,4.906374878042022,0.0,Alkaloid
346.0,368.0,4.9342179903463865,0.0,Polyketide
324.0,342.0,4.936297540128225,0.0,NRP
201.0,241.0,4.957651693663448,0.0,Polyketide
371.0,386.0,4.97859018530039,0.0,NRP
318.0,354.0,5.0483843434475215,0.0,Polyketide
26.0,380.0,5.052745288375954,0.0,Other
27.0,68.0,5.060199935553293,0.0,Polyketide
339.0,381.0,5.08976766240634,0.0,RiPP
338.0,366.0,5.111680248819752,0.0,RiPP
359.0,378.0,5.148372702572132,0.0,NRP
