label,Dim1,Dim2
3.0,-14.590082168579102,6.863313674926758
0.0,-14.537163734436035,6.753391742706299
4.0,-14.641104698181152,6.834080219268799
0.0,-14.562149047851562,6.7304511070251465
1.0,-14.531201362609863,6.860424518585205
4.0,-14.522909164428711,6.808077812194824
3.0,-14.707778930664062,6.705935478210449
4.0,-14.56928825378418,6.849249362945557
4.0,-14.654427528381348,6.831563472747803
3.0,-14.513379096984863,6.737218379974365
1.0,-14.625190734863281,6.787499904632568
0.0,-14.755938529968262,6.935385704040527
4.0,-14.654047012329102,6.782571315765381
1.0,-14.61300277709961,6.824364185333252
3.0,-14.52593994140625,6.775568008422852
4.0,-14.615015029907227,6.838894367218018
4.0,-14.63122844696045,6.814504623413086
4.0,-14.646554946899414,6.787339687347412
4.0,-14.43326187133789,6.761071681976318
4.0,-14.583006858825684,6.8441643714904785
0.0,-14.545912742614746,6.815464973449707
1.0,-14.57766056060791,6.798666477203369
3.0,-14.56577205657959,6.821671485900879
4.0,-14.568376541137695,6.758032321929932
3.0,-14.569388389587402,6.747220516204834
4.0,-14.62377643585205,6.835841178894043
0.0,-14.702438354492188,6.816967487335205
0.0,-14.553372383117676,6.820943832397461
3.0,-14.47264289855957,6.722643852233887
0.0,-14.679889678955078,6.925756931304932
0.0,-14.565845489501953,6.857999801635742
1.0,-14.555980682373047,6.824488162994385
1.0,-14.61500072479248,6.802245140075684
4.0,-14.526708602905273,6.708864212036133
3.0,-14.561869621276855,6.869558811187744
4.0,-14.650632858276367,6.865370750427246
3.0,-14.42314624786377,6.686538219451904
0.0,-14.756385803222656,6.767843246459961
0.0,-14.589999198913574,6.78601598739624
4.0,-14.469281196594238,6.75666618347168
4.0,-14.7138032913208,6.732184886932373
3.0,-14.550259590148926,6.880538463592529
0.0,-14.726982116699219,6.818843841552734
3.0,-14.449403762817383,6.777709484100342
0.0,-14.54508113861084,6.788773059844971
4.0,-14.660015106201172,6.86962890625
1.0,-14.54127311706543,6.741485595703125
0.0,-14.592034339904785,6.762600421905518
3.0,-14.531635284423828,6.779588222503662
4.0,-14.696260452270508,6.80286169052124
0.0,-14.4939603805542,6.83876371383667
0.0,-14.527862548828125,6.7376298904418945
3.0,-14.55831241607666,6.772780895233154
4.0,-14.706515312194824,6.84490442276001
4.0,-14.53336238861084,6.798274040222168
0.0,-14.636722564697266,6.873058319091797
4.0,-14.503274917602539,6.771266460418701
3.0,-14.578230857849121,6.860563278198242
4.0,-14.570469856262207,6.835878849029541
3.0,-14.609356880187988,6.8506598472595215
3.0,-14.499378204345703,6.756983757019043
4.0,-14.509239196777344,6.794430255889893
0.0,-14.591718673706055,6.785976409912109
4.0,-14.532984733581543,6.803391456604004
4.0,-14.803057670593262,6.896263122558594
4.0,-14.642679214477539,6.8703718185424805
4.0,-14.740609169006348,6.863061904907227
4.0,-14.526429176330566,6.820435523986816
4.0,-14.624198913574219,6.8201003074646
4.0,-14.441243171691895,6.822622299194336
4.0,-14.568221092224121,6.752631664276123
1.0,-14.567654609680176,6.724359512329102
3.0,-14.573653221130371,6.826771259307861
0.0,-14.592561721801758,6.810186386108398
4.0,-14.44227409362793,6.709014892578125
3.0,-14.685310363769531,6.8688530921936035
4.0,-14.729073524475098,6.820796012878418
3.0,-14.546401023864746,6.799569129943848
1.0,-14.540602684020996,6.764654159545898
1.0,-14.478647232055664,6.782288074493408
1.0,-14.594368934631348,6.865623474121094
4.0,-14.587777137756348,6.874730110168457
1.0,-14.422768592834473,6.749723434448242
0.0,-14.512454986572266,6.714729309082031
4.0,-14.606768608093262,6.88142204284668
4.0,-14.573702812194824,6.8578081130981445
4.0,-14.523518562316895,6.769636154174805
1.0,-14.67237663269043,6.763354778289795
3.0,-14.671895027160645,6.825155258178711
4.0,-14.621417045593262,6.801408290863037
4.0,-14.740527153015137,6.860584259033203
4.0,-14.65717887878418,6.846920490264893
0.0,-14.579937934875488,6.847501754760742
1.0,-14.608354568481445,6.807380199432373
4.0,-14.480401039123535,6.764467239379883
0.0,-14.533625602722168,6.733851909637451
3.0,-14.613231658935547,6.802793502807617
4.0,-14.579177856445312,6.764777183532715
3.0,-14.524803161621094,6.784167766571045
4.0,-14.5639066696167,6.758170127868652
0.0,-14.515085220336914,6.808802127838135
4.0,-14.597012519836426,6.801426887512207
1.0,-14.61427116394043,6.829708099365234
4.0,-14.556427001953125,6.786900520324707
0.0,-14.570158004760742,6.853640556335449
4.0,-14.551209449768066,6.7558465003967285
3.0,-14.55433464050293,6.790362358093262
4.0,-14.541314125061035,6.7305097579956055
4.0,-14.583696365356445,6.7788848876953125
4.0,-14.49209213256836,6.789507865905762
4.0,-14.555220603942871,6.760270118713379
4.0,-14.481184005737305,6.785369873046875
4.0,-14.627157211303711,6.746701240539551
4.0,-14.527804374694824,6.791933536529541
4.0,-14.47871208190918,6.846275329589844
4.0,-14.586260795593262,6.807086944580078
4.0,-14.519710540771484,6.781274318695068
4.0,-14.671131134033203,6.880828857421875
4.0,-14.710455894470215,6.86206579208374
0.0,-14.556848526000977,6.6801323890686035
4.0,-14.612297058105469,6.755423545837402
4.0,-14.665337562561035,6.784311771392822
3.0,-14.432271957397461,6.747282981872559
3.0,-14.496960639953613,6.746259689331055
1.0,-14.623257637023926,6.72709846496582
0.0,-14.524666786193848,6.770028591156006
4.0,-14.607070922851562,6.836806774139404
1.0,-14.456997871398926,6.776805877685547
3.0,-14.633337020874023,6.756136894226074
4.0,-14.549585342407227,6.797083377838135
3.0,-14.525440216064453,6.773296356201172
3.0,-14.595260620117188,6.828273296356201
0.0,-14.604034423828125,6.894993782043457
4.0,-14.506431579589844,6.821651458740234
3.0,-14.464625358581543,6.8696746826171875
1.0,-14.53022289276123,6.8247551918029785
0.0,-14.56551742553711,6.78589391708374
3.0,-14.307543754577637,6.755466461181641
4.0,-14.559552192687988,6.768249034881592
3.0,-14.422687530517578,6.7563252449035645
0.0,-14.543840408325195,6.8416361808776855
3.0,-14.448966979980469,6.811495780944824
0.0,-14.58337116241455,6.817989826202393
4.0,-14.537994384765625,6.75888204574585
4.0,-14.624938011169434,6.761649131774902
4.0,-14.611865043640137,6.896052360534668
0.0,-14.591785430908203,6.740094184875488
3.0,-14.604863166809082,6.79008150100708
4.0,-14.58655071258545,6.740115165710449
3.0,-14.65243911743164,6.748395919799805
1.0,-14.581433296203613,6.80268669128418
1.0,-14.69893741607666,6.762581825256348
1.0,-14.623383522033691,6.8391337394714355
0.0,-14.629709243774414,6.850734233856201
3.0,-14.533823013305664,6.829518795013428
3.0,-14.56952953338623,6.787744045257568
4.0,-14.682218551635742,6.859827518463135
4.0,-14.579532623291016,6.798968315124512
3.0,-14.504510879516602,6.813193321228027
0.0,-14.559052467346191,6.84081506729126
1.0,-14.623785018920898,6.830357551574707
3.0,-14.583657264709473,6.709336757659912
4.0,-14.591659545898438,6.788437366485596
1.0,-14.57058334350586,6.750301837921143
1.0,-14.588279724121094,6.786981582641602
0.0,-14.617222785949707,6.831352710723877
4.0,-14.678706169128418,6.841732025146484
4.0,-14.556123733520508,6.797084331512451
3.0,-14.494613647460938,6.779020309448242
1.0,-14.341787338256836,6.788694381713867
1.0,-14.65371322631836,6.751820087432861
4.0,-14.568683624267578,6.725196361541748
1.0,-14.604307174682617,6.7872209548950195
3.0,-14.675586700439453,6.884728908538818
4.0,-14.620217323303223,6.769318103790283
1.0,-14.630830764770508,6.882999420166016
1.0,-14.569123268127441,6.821156978607178
0.0,-14.623662948608398,6.816440582275391
3.0,-14.527685165405273,6.740355968475342
1.0,-14.596068382263184,6.781102180480957
0.0,-14.522665977478027,6.794058799743652
3.0,-14.695825576782227,6.900139808654785
4.0,-14.436232566833496,6.738993167877197
4.0,-14.654887199401855,6.958101749420166
0.0,-14.60637378692627,6.785763740539551
4.0,-14.676424980163574,6.842768669128418
3.0,-14.59121036529541,6.836821556091309
4.0,-14.569282531738281,6.768283367156982
4.0,-14.745823860168457,6.835611820220947
4.0,-14.571301460266113,6.800004005432129
4.0,-14.553390502929688,6.865791320800781
3.0,-14.481029510498047,6.7355217933654785
3.0,-14.492437362670898,6.771964073181152
1.0,-14.551085472106934,6.781620979309082
3.0,-14.585012435913086,6.750782012939453
3.0,-14.507616996765137,6.751997947692871
4.0,-14.472824096679688,6.83371639251709
4.0,-14.423970222473145,6.687686920166016
4.0,-14.6674165725708,6.810490131378174
4.0,-14.49974250793457,6.836031436920166
4.0,-14.479193687438965,6.765801429748535
3.0,-14.533730506896973,6.791885852813721
4.0,-14.568603515625,6.699923038482666
4.0,-14.657988548278809,6.828379154205322
0.0,-14.475192070007324,6.716110706329346
4.0,-14.562886238098145,6.816596984863281
4.0,-14.64691162109375,6.781240463256836
4.0,-14.579462051391602,6.83748722076416
0.0,-14.550353050231934,6.739198207855225
4.0,-14.738893508911133,6.869678020477295
1.0,-14.454621315002441,6.738689422607422
0.0,-14.629084587097168,6.775699138641357
3.0,-14.530767440795898,6.944831371307373
4.0,-14.607446670532227,6.747478485107422
4.0,-14.595443725585938,6.873480319976807
3.0,-14.500643730163574,6.894205570220947
1.0,-14.461859703063965,6.771343231201172
1.0,-14.647062301635742,6.814377307891846
4.0,-14.512280464172363,6.8356099128723145
4.0,-14.543349266052246,6.791426658630371
4.0,-14.468947410583496,6.738734245300293
4.0,-14.510358810424805,6.829740524291992
4.0,-14.566662788391113,6.772850513458252
4.0,-14.52177619934082,6.809732913970947
4.0,-14.584880828857422,6.788627624511719
4.0,-14.650534629821777,6.809051036834717
3.0,-14.677730560302734,6.875422477722168
1.0,-14.655804634094238,6.859060764312744
0.0,-14.467133522033691,6.786279678344727
1.0,-14.569990158081055,6.820974826812744
4.0,-14.76121711730957,6.825818061828613
1.0,-14.567915916442871,6.825007915496826
0.0,-14.622214317321777,6.771710395812988
1.0,-14.652569770812988,6.890410900115967
1.0,-14.514595985412598,6.75112771987915
0.0,-14.593661308288574,6.8330254554748535
1.0,-14.615164756774902,6.706631660461426
4.0,-14.419008255004883,6.71537971496582
4.0,-14.571815490722656,6.721293926239014
3.0,-14.512068748474121,6.768783092498779
1.0,-14.57472038269043,6.833563327789307
4.0,-14.525049209594727,6.7121262550354
4.0,-14.610589027404785,6.8843865394592285
1.0,-14.669048309326172,6.842015743255615
4.0,-14.408781051635742,6.735657215118408
1.0,-14.439848899841309,6.791028022766113
0.0,-14.623663902282715,6.791320323944092
1.0,-14.56706714630127,6.812999725341797
1.0,-14.504240036010742,6.748754978179932
4.0,-14.623513221740723,6.789209842681885
1.0,-14.546365737915039,6.82792329788208
1.0,-14.631306648254395,6.836211681365967
3.0,-14.69079303741455,6.845188140869141
0.0,-14.411295890808105,6.764078140258789
4.0,-14.50728702545166,6.709522247314453
0.0,-14.657662391662598,6.766430377960205
4.0,-14.68034553527832,6.803055763244629
1.0,-14.505770683288574,6.864189624786377
0.0,-14.629050254821777,6.829263210296631
4.0,-14.560591697692871,6.721554756164551
0.0,-14.514312744140625,6.851434707641602
1.0,-14.712055206298828,6.910287857055664
4.0,-14.589713096618652,6.871917247772217
3.0,-14.592995643615723,6.789534091949463
4.0,-14.465402603149414,6.798748016357422
4.0,-14.54257583618164,6.8031439781188965
4.0,-14.667492866516113,6.8326945304870605
4.0,-14.55153751373291,6.766152381896973
4.0,-14.601223945617676,6.875608444213867
4.0,-14.726348876953125,6.784734725952148
0.0,-14.523271560668945,6.801058769226074
0.0,-14.529219627380371,6.797394275665283
